CCI_ID,NIST_53_Ref,Definition
CCI-000081,PM-3.1 (iii),The organization employs a business case/Exhibit 300/Exhibit 53 to record the resources required.
CCI-000082,AC-19 a,The organization establishes usage restrictions for organization-controlled mobile devices.
CCI-000082,AC-19.1 (i),The organization establishes usage restrictions for organization-controlled mobile devices.
CCI-000083,AC-19 a,"Establish implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas."
CCI-000083,AC-19.1 (i),"Establish implementation guidance for organization-controlled mobile devices, to include when such devices are outside of controlled areas."
CCI-000084,AC-19 b,Authorize connection of mobile devices to organizational systems.
CCI-000084,AC-19.1 (ii),Authorize connection of mobile devices to organizational systems.
CCI-000085,AC-19 c,The organization monitors for unauthorized connections of mobile devices to organizational information systems.
CCI-000085,AC-19.1 (iii),The organization monitors for unauthorized connections of mobile devices to organizational information systems.
CCI-000086,AC-19 d,The organization enforces requirements for the connection of mobile devices to organizational information systems.
CCI-000086,AC-19.1 (iv),The organization enforces requirements for the connection of mobile devices to organizational information systems.
CCI-000087,AC-19 e,The organization disables information system functionality that provides the capability for automatic execution of code on mobile devices without user direction.
CCI-000087,AC-19.1 (v),The organization disables information system functionality that provides the capability for automatic execution of code on mobile devices without user direction.
CCI-000088,AC-19 f,The organization issues specially configured mobile devices to individuals traveling to locations that the organization deems to be of significant risk in accordance with organizational policies and p
CCI-000088,AC-19.1 (vi),The organization issues specially configured mobile devices to individuals traveling to locations that the organization deems to be of significant risk in accordance with organizational policies and p
CCI-000089,AC-19 g,The organization applies organization-defined inspection and preventative measures to mobile devices returning from locations that the organization deems to be of significant risk in accordance with o
CCI-000089,AC-19.1 (viii),The organization applies organization-defined inspection and preventative measures to mobile devices returning from locations that the organization deems to be of significant risk in accordance with o
CCI-000090,AC-19 (1),"The organization restricts the use of writable, removable media in organizational information systems."
CCI-000090,AC-19 (1).1,"The organization restricts the use of writable, removable media in organizational information systems."
CCI-000091,AC-19 (2),"The organization prohibits the use of personally-owned, removable media in organizational information systems."
CCI-000091,AC-19 (2).1,"The organization prohibits the use of personally-owned, removable media in organizational information systems."
CCI-000092,AC-19 (3),The organization prohibits the use of removable media in organizational information systems when the media has no identifiable owner.
CCI-000092,AC-19 (3).1,The organization prohibits the use of removable media in organizational information systems when the media has no identifiable owner.
CCI-000093,AC-20 a,"Establish organization-defined terms and conditions, and/or identify organization-defined controls asserted to be implemented on external systems, consistent with the trust relationships established w"
CCI-000093,AC-20.1,"Establish organization-defined terms and conditions, and/or identify organization-defined controls asserted to be implemented on external systems, consistent with the trust relationships established w"
CCI-000093,AC-20 a 1,"Establish organization-defined terms and conditions, and/or identify organization-defined controls asserted to be implemented on external systems, consistent with the trust relationships established w"
CCI-000094,AC-20 b,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allo"
CCI-000094,AC-20.1,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allo"
CCI-000095,AC-20 (1) (a),The organization prohibits authorized individuals from using an external information system to access the information system except in situations where the organization can verify the implementation o
CCI-000095,AC-20 (1).1,The organization prohibits authorized individuals from using an external information system to access the information system except in situations where the organization can verify the implementation o
CCI-000096,AC-20 (1) (b),"The organization prohibits authorized individuals from using an external information system to access the information system or to process, store, or transmit organization-controlled information excep"
CCI-000096,AC-20 (1).1,"The organization prohibits authorized individuals from using an external information system to access the information system or to process, store, or transmit organization-controlled information excep"
CCI-000097,AC-20 (2),Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using organization-defined restrictions.
CCI-000097,AC-20 (2).1,Restrict the use of organization-controlled portable storage devices by authorized individuals on external systems using organization-defined restrictions.
CCI-000098,AC-21 a,Enable authorized users to determine whether access authorizations assigned to the sharing partner match the information's access and use restrictions for organization-defined information sharing circ
CCI-000098,AC-21.1 (ii),Enable authorized users to determine whether access authorizations assigned to the sharing partner match the information's access and use restrictions for organization-defined information sharing circ
CCI-000099,AC-21 (1),Employ organization-defined automated mechanisms to enforce information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information 
CCI-000099,AC-21 (1).1,Employ organization-defined automated mechanisms to enforce information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information 
CCI-000100,AT-1 a,"Develop and document an organization level, mission/business process-level, or system-level awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment,"
CCI-000100,AT-1.1 (i and ii),"Develop and document an organization level, mission/business process-level, or system-level awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment,"
CCI-000100,AT-1 a 1,"Develop and document an organization level, mission/business process-level, or system-level awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment,"
CCI-000100,AT-1 a 1 (a),"Develop and document an organization level, mission/business process-level, or system-level awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment,"
CCI-000101,AT-1 a,"Disseminate an organization level, mission/business process-level, or system-level awareness and training policy to organization-defined personnel or roles."
CCI-000101,AT-1.1 (iii),"Disseminate an organization level, mission/business process-level, or system-level awareness and training policy to organization-defined personnel or roles."
CCI-000101,AT-1 a 1,"Disseminate an organization level, mission/business process-level, or system-level awareness and training policy to organization-defined personnel or roles."
CCI-000101,AT-1 a 1 (a),"Disseminate an organization level, mission/business process-level, or system-level awareness and training policy to organization-defined personnel or roles."
CCI-000102,AT-1 a,Review and update the current security awareness and training policy in accordance with organization-defined frequency.
CCI-000102,AT-1.2 (ii),Review and update the current security awareness and training policy in accordance with organization-defined frequency.
CCI-000102,AT-1 b 1,Review and update the current security awareness and training policy in accordance with organization-defined frequency.
CCI-000102,AT-1 c 1,Review and update the current security awareness and training policy in accordance with organization-defined frequency.
CCI-000103,AT-1 b,Develop and document procedures to facilitate the implementation of the awareness and training policy and associated awareness and training controls.
CCI-000103,AT-1.1 (iv and v),Develop and document procedures to facilitate the implementation of the awareness and training policy and associated awareness and training controls.
CCI-000103,AT-1 a 2,Develop and document procedures to facilitate the implementation of the awareness and training policy and associated awareness and training controls.
CCI-000104,AT-1 b,Disseminate organization-level; mission/business process-level; or system-level awareness and training procedures to organization-defined personnel or roles.
CCI-000104,AT-1.1 (vi),Disseminate organization-level; mission/business process-level; or system-level awareness and training procedures to organization-defined personnel or roles.
CCI-000104,AT-1 a 2,Disseminate organization-level; mission/business process-level; or system-level awareness and training procedures to organization-defined personnel or roles.
CCI-000105,AT-1 b,Review and update the current security awareness and training procedures in accordance with an organization-defined frequency.
CCI-000105,AT-1.2 (iii),Review and update the current security awareness and training procedures in accordance with an organization-defined frequency.
CCI-000105,AT-1 b 2,Review and update the current security awareness and training procedures in accordance with an organization-defined frequency.
CCI-000105,AT-1 c 2,Review and update the current security awareness and training procedures in accordance with an organization-defined frequency.
CCI-000106,AT-2,"Provide basic security literacy training to system users (including managers, senior executives, and contractors) as part of initial training for new users."
CCI-000106,AT-2.1 (i),"Provide basic security literacy training to system users (including managers, senior executives, and contractors) as part of initial training for new users."
CCI-000106,AT-2 a,"Provide basic security literacy training to system users (including managers, senior executives, and contractors) as part of initial training for new users."
CCI-000106,AT-2 a 1,"Provide basic security literacy training to system users (including managers, senior executives, and contractors) as part of initial training for new users."
CCI-000107,AT-2 (1),Provide practical exercises in literacy training that simulate events and incidents.
CCI-000107,AT-2 (1).1,Provide practical exercises in literacy training that simulate events and incidents.
CCI-000108,AT-3,"Provide role-based security training to personnel with organization-defined roles and responsibilities before authorizing access to the system, information, or performing assigned duties."
CCI-000108,AT-3.1 (i),"Provide role-based security training to personnel with organization-defined roles and responsibilities before authorizing access to the system, information, or performing assigned duties."
CCI-000108,AT-3 a,"Provide role-based security training to personnel with organization-defined roles and responsibilities before authorizing access to the system, information, or performing assigned duties."
CCI-000108,AT-3 a 1,"Provide role-based security training to personnel with organization-defined roles and responsibilities before authorizing access to the system, information, or performing assigned duties."
CCI-000109,AT-3,Provide role-based security training to personnel with organization-defined roles and responsibilities when required by system changes.
CCI-000109,AT-3.1 (i),Provide role-based security training to personnel with organization-defined roles and responsibilities when required by system changes.
CCI-000109,AT-3 b,Provide role-based security training to personnel with organization-defined roles and responsibilities when required by system changes.
CCI-000109,AT-3 a 2,Provide role-based security training to personnel with organization-defined roles and responsibilities when required by system changes.
CCI-000110,AT-3,The organization provides refresher role-based security training to personnel with assigned security roles and responsibilities in accordance with organization-defined frequency.
CCI-000110,AT-3.1 (iii),The organization provides refresher role-based security training to personnel with assigned security roles and responsibilities in accordance with organization-defined frequency.
CCI-000110,AT-3 c,The organization provides refresher role-based security training to personnel with assigned security roles and responsibilities in accordance with organization-defined frequency.
CCI-000111,AT-3,The organization defines a frequency for providing refresher role-based security training.
CCI-000111,AT-3.1 (ii),The organization defines a frequency for providing refresher role-based security training.
CCI-000111,AT-3 c,The organization defines a frequency for providing refresher role-based security training.
